,type,2nd type,3rd type,Source Notes (things to know?),,,Investigated?,
libertyblitzkrieg.com,fake,,,,libertyblitzkrieg,,FALSE,
libertyfederation.com,hate,,,,,,,
libertymovementradio.com,conspiracy,,,,libertymovementradio,,TRUE,
libertynews.com,unreliable,bias,,,libertynews,,FALSE,
libertytalk.fm,conspiracy,,,,libertytalk,,TRUE,
libertyunyielding.com,bias,,,,libertyunyielding,,FALSE,
libertyvideos.org,conspiracy,,,,libertyvideos,,TRUE,
libertywritersnews.com,clickbait,bias,unreliable,,libertywritersnews,,FALSE,
lifeandabout.com,bias,,,,lifeandabout,,FALSE,
lifenews.com,bias,clickbait,,,,,,
lifeprevention.com,junksci,,,,lifeprevention,,FALSE,
lifesitenews.com,clickbait,bias,,,,,,
lifezette.com,clickbait,,,,,,,
lightlybraisedturnip.com,unknown,,,in German,lightlybraisedturnip,,FALSE,
liveactionnews.org,bias,,,,,,,
livefreelivenatural.com,unknown,,,"*Malware Warning, did not navigate to site",livefreelivenatural,,FALSE,
livevote.com,clickbait,,,,livevote,,FALSE,
loanpride.com,rumor,clickbait,,http://loanpride.com/obama-family-divorce-attorney-quit-smoking-tips/?utm_source=revcontent&utm_medium=56198&utm_term=conservative%20news&utm_content=1770992&utm_campaign=234718&utm_widget_id=56198,,,,
lovethispic.com,clickbait,junksci,,,,,,
lushforlife.com,satire,,,,lushforlife,,FALSE,
Mad-Yet.blogspot.com,unreliable,,,"links to real news stories, but also some questionable/decontextualized images",,,,
madpatriots.com,unreliable,clickbait,,,,, ,
madworldnews.com,unreliable,hate,,,madworldnews,,FALSE,
madworldnews.com,unreliable,clickbait,,,,, ,
magafeed.com,rumor,bias,,"""god/emperor"" category for trump",magafeed,,FALSE,
makeamericagreattoday.com,bias,fake,,,makeamericagreattoday,,FALSE,
meanlefthook.com,bias,clickbait,,,,,,
mediamass.net,fake,,,,mediamass,,TRUE,
mediazone.news,rumor,unreliable,,,mediazone,,FALSE,
megafreshnews.com,rumor,,,,megafreshnews,,FALSE,
megynkelly.us,fake,,,,megynkelly,,FALSE,
militianews.com,conspiracy,bias,hate,,,,,
